publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,69,Slovak Republic,18,NULL,NULL,NULL,0.09554,NA,non-iati
NA,61,Slovenia,1,FIN,FIN,Ministry of finance,1.356918502,NA,non-iati
NA,61,Slovenia,2,MFA,MFA,Ministry of foreign affairs,7.160688576,9.462811361,non-iati
NA,61,Slovenia,3,INT,INT,Ministry of interior,3.3426432,NA,non-iati
NA,61,Slovenia,4,DEF,DEF,Ministry of Defence,1.8574268,0.074539527,non-iati
NA,61,Slovenia,99,MISC,MISC,Misc.,6.494778719,NA,non-iati
NA,50,Spain,4,AGR,AGR,"Ministry of Agriculture, Fisheries, and Food",1.57651415,0.263908044,non-iati
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,5,MFA,MFA,Ministry of Foreign Affairs and Co-operation,99.97358878,98.19822356,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,6,ECON,ECON,Ministry of Economy and Competitiveness,3.300621694,288.7401539,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,7,EDUC,EDUC,"Ministry of Education, Culture and Sports",1.86893222,0.198953308,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,8,MPW,MPW,Ministry of Public Works,0.531924156,0.165246335,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,9,MIE,MIE,Ministry of Industry and Energy,0.381871998,0.455523495,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,11,MOH,MOH,Ministry of Health,0.55756002,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,12,EMP,EMP,Ministry of Labour and Social Affairs,21.05235942,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,13,INT,INT,Ministry of Interior,1.06392367,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,14,MPA,MPA,Ministry of Public Administration,0.22110593,1024.39276,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,15,AG,AG,Autonomous Governments,144.4746041,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,16,MUNIC,MUNIC,Municipalities,71.9153891,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,19,DEF,DEF,Ministry of Defence,14.89315198,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,20,UNIV,UNIV,Public Universities,13.29964226,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,21,AECID,AECID,Spanish Agency for International Development Co-operation,333.9554234,NA,checked
Spain - Ministry of Foreign Affairs and Cooperation,50,Spain,22,NULL,Oth. Min.,Others ministries,0.2122489,NA,checked
Sweden (Sida),10,Sweden,2,MFA,MFA,Ministry of Foreign Affairs,1324.268781,1921.848198,checked
Sweden (Sida),10,Sweden,6,Sida,Sida,Swedish International Development Authority,2936.426182,43.04418428,checked
NA,10,Sweden,11,ENV,NULL,NULL,3.0764672,NA,non-iati
NA,10,Sweden,20,NULL,NULL,NULL,25.69745223,NA,non-iati
NA,10,Sweden,21,NULL,NULL,NULL,4.11901,NA,non-iati
NA,10,Sweden,22,NULL,NULL,NULL,23.9037141,NA,non-iati
NA,10,Sweden,23,NULL,NULL,NULL,21.78990606,NA,non-iati
NA,10,Sweden,24,NULL,NULL,NULL,35.1361053,NA,non-iati
NA,10,Sweden,25,NULL,NULL,NULL,3.2799329,NA,non-iati
NA,10,Sweden,27,NULL,NULL,NULL,5.798129,NA,non-iati
NA,10,Sweden,28,NULL,NULL,NULL,1.902364,NA,non-iati
NA,10,Sweden,29,NULL,NULL,NULL,25.70708473,NA,non-iati
NA,10,Sweden,30,NULL,NULL,NULL,2.41421294,NA,non-iati
NA,10,Sweden,31,NULL,NULL,NULL,0.262394,NA,non-iati
NA,10,Sweden,32,NULL,NULL,NULL,0.2674967,NA,non-iati
NA,10,Sweden,36,SwedFund,NULL,NULL,50.6685434,NA,non-iati
NA,10,Sweden,37,NULL,NULL,NULL,0.40088,NA,non-iati
NA,10,Sweden,38,NULL,NULL,NULL,0.523477,NA,non-iati
NA,11,Switzerland,1,FA,FA,Federal Administration (various departments),568.3268806,65.50424199,non-iati
Switzerland - Swiss Agency for Development and Cooperation (SDC),11,Switzerland,4,SDC,SDC,Swiss Agency for Development and Co-operation,1655.410561,627.0667325,checked
NA,11,Switzerland,5,Seco,Seco,State Secretariat for Economic Affairs,477.3280391,4.13296442,non-iati
NA,11,Switzerland,6,DFA,DFA,Federal Department of Foreign Affairs,124.0955225,35.78585088,non-iati
NA,11,Switzerland,11,MUNIC,MUNIC,Municipalities,56.08825711,NA,non-iati
NA,923,UN Peacebuilding Fund [UNPBF],1,UNPBF,NULL,NULL,65.01090398,NA,non-iati
NA,971,UNAIDS,1,UNAIDS,NULL,NULL,238.6720169,NA,non-iati
NA,959,UNDP,1,UNDP,NULL,NULL,462.9682182,NA,non-iati
NA,948,UNECE,1,UNECE,NULL,NULL,14.008016,NA,non-iati
NA,974,UNFPA,1,UNFPA,NULL,NULL,340.0066301,NA,non-iati
NA,967,UNHCR,1,UNHCR,NULL,NULL,480.0821,NA,non-iati
NA,963,UNICEF,1,UNICEF,NULL,NULL,1342.399663,NA,non-iati
NA,576,United Arab Emirates,2,FIN,DOF,Abu Dhabi Department of Finance,3574.86109,NA,non-iati
NA,576,United Arab Emirates,3,ADFD,ADFD,Abu Dhabi Fund for Development,1394.61479,NA,non-iati
NA,576,United Arab Emirates,7,IHC,IHC,International Humanitarian City,10.77179,3.250080498,non-iati
NA,576,United Arab Emirates,8,MBZ,NULL,NULL,0.89554,NA,non-iati
NA,576,United Arab Emirates,9,MICAD,NULL,NULL,14.3447,NA,non-iati
NA,576,United Arab Emirates,17,KBZ,KZF,Khalifa Bin Zayed Al Nahyan Foundation,170.07831,NA,non-iati
NA,576,United Arab Emirates,18,MBR,MRHC,Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,10.18256,NA,non-iati
NA,576,United Arab Emirates,19,ZBS,ZCHF,Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation,0.65264,NA,non-iati
NA,576,United Arab Emirates,22,RCA,RCA,UAE Red Crescent Authority,106.42612,NA,non-iati
NA,576,United Arab Emirates,25,GOV,OTHER,Other Government Entitites,257.55209,119.7139224,non-iati
NA,576,United Arab Emirates,99,MISC,MISC,Miscellaneous,24.48746,NA,non-iati
UK - Department for International Development (DFID),12,United Kingdom,1,DFID,DFID,Department for International Development,9809.236117,6495.308548,checked
CDC Group plc,12,United Kingdom,2,CDC,CDC,CDC Capital Partners PLC,608.350974,NA,checked
UK - Foreign & Commonwealth Office,12,United Kingdom,3,FCO,FCO,Foreign & Commonwealth Office,537.4224174,66.50448176,checked
UK - Department of Energy and Climate Change,12,United Kingdom,4,DECC,DECC,Department of Energy and Climate Change,125.0586536,178.723343,checked
UK - Department for International Development (DFID),12,United Kingdom,5,ECGD,ECGD,Export Credit Guarantee Department,5.321836563,NA,checked
UK - Home Office,12,United Kingdom,6,HO,HO,Home Office,221.9148,1.246654643,checked
"UK - Department for Environment, Food and Rural Affairs",12,United Kingdom,7,DEFRA,DEFRA,Department for Environment Food and Rural Affairs,77.24404124,16.24232066,checked
UK - Ministry of Defence,12,United Kingdom,8,MOD,MOD,Ministry of Defence,3.553683558,NA,checked
NA,12,United Kingdom,11,BIS,BIS,"Department for Business, Innovation and Skills",130.1062221,NA,non-iati
UK - Scottish Government,12,United Kingdom,21,SG,SG,Scottish Government,19.26845528,NA,checked
UK - Welsh Government's Wales for Africa Programme,12,United Kingdom,22,WAG,WAG,Welsh Assembly Government,1.6998646,NA,checked
NA,12,United Kingdom,99,MISC,MISC,Miscellaneous,412.8921453,745.813324,non-iati
United States,302,United States,1,AID,AID,Agency for International Development,17069.8156,1814.146022,checked
United States,302,United States,2,AGR,AGR,Department of Agriculture,306.0224,NA,checked
United States,302,United States,6,DTRE,DTRE,Department of Treasury,150.14505,2645.751905,checked
United States,302,United States,7,DOD,DOD,Department of Defense,399.03252,NA,checked
NA,302,United States,9,INT,INTERIOR,Department of the Interior,185.0477,NA,non-iati
United States,302,United States,10,PEACE,PEACE,Peace Corps,407.96018,NA,checked
United States,302,United States,11,STATE,STATE,State Department,5276.64347,1043.21046,checked
NA,302,United States,12,TDA,TDA,Trade and Development Agency,39.40671,NA,non-iati
United States,302,United States,13,ADF,ADF,African Development Foundation,25.85213,NA,checked
United States,302,United States,14,HHS,HHS,Department of Health and Human Services,3362.75481,NA,checked
NA,302,United States,15,JUSTICE,JUSTICE,Department of Justice,4.65336,NA,non-iati
NA,302,United States,16,COMMERCE,COMMERCE,Department of Commerce,13.48978,NA,non-iati
NA,302,United States,17,LABOR,LABOR,Department of Labor,67.05426,NA,non-iati
United States,302,United States,18,MCC,MCC,Millennium Challenge Corporation,885.33322,NA,checked
NA,302,United States,19,DHS,DHS,Department of Homeland Security,1.75948,NA,non-iati
NA,302,United States,20,DOE,DOE,Department of Energy,60.96769,NA,non-iati
United States,302,United States,21,IADF,IADF,Inter-American Development Foundation,27.09632,NA,checked
NA,302,United States,22,OPIC,OPIC,Overseas Private Investment Corporation,251.34201,NA,non-iati
NA,302,United States,23,FTC,FTC,Federal Trade Commission,0.16886,NA,non-iati
NA,302,United States,26,DOT,DOT,Department of Transportation,0.16421,NA,non-iati
NA,302,United States,31,EXIM,EXIM,Export Import Bank,0.98265,NA,non-iati
NA,302,United States,32,EPA,EPA,Environmental Protection Agency,9.307,NA,non-iati
NA,302,United States,99,MISC,MISC,Miscellaneous,NULL,NA,non-iati
NA,964,UNRWA,1,UNRWA,NULL,NULL,680.10063,NA,non-iati
NA,966,WFP,1,WFP,NULL,NULL,308.81258,NA,non-iati
NA,928,World Health Organisation [WHO],1,WHO,NULL,NULL,471.3630034,NA,non-iati
