donor_code,donor_name,agency_code,crs_agency_name,loc_agency_acronym,loc_agency_name,total_usd_disbursement,,
18,Finland,1,FG,FG,Finnish Government,17.98839285,,
18,Finland,2,FF,FF,FinnFund,106.9407536,,
18,Finland,3,MFA,MFA,Ministry of Foreign Affairs,863.605643,,
4,France,3,AFD,AFD,French Development Agency,5007.763471,,
4,France,8,COOP DECENTRAL,COOP DECENTRALISEE,COOP DECENTRALISED,955.8127879,,
4,France,10,MINEFI,MINEFI,"Ministry of Economy, Finance and Industry",547.1983634,,
4,France,12,INT,IntÌ©rieur,Ministry of Interior,529.3000912,,
4,France,13,AGRI,AGRI,Ministry of Agriculture,11.95002413,,
4,France,14,DEF,DEF,Ministry of Defense,35.0759015,,
4,France,15,InterMin,INTER,Inter-ministerial,14.37972518,,
4,France,17,MEN,MESR,Ministry of Higher education and Research,1431.087679,,
4,France,22,Proparco,NULL,NULL,977.62443,,
4,France,30,MIN/EQUIPEMENT,NULL,NULL,18.0339938,,
4,France,37,MIN/TRAVAIL,MIN/TRAVAIL,MIN/TRAVAIL,3.38065879,,
4,France,99,MISC,MISC,Miscellaneous,98.52327936,,
5,Germany,1,BMZ,BMZ,Bundesministerium Wirtschaftliche Zusammenarbeit und Entwicklung,6733.865787,,
5,Germany,2,KFW,KFW,Kreditanstalt Wiederaufbau,3857.691594,,
5,Germany,4,DEG,DEG,German Investment and Development Company,1517.596688,,
5,Germany,5,BMF,BMF,Federal Ministry of Finance,5.02097171,,
5,Germany,7,F O,F O,Foreign Office,1383.10682,,
5,Germany,9,BMU,BMU,"Federal Ministry for the Env., Nature Conservation and Nuclear Safety",317.8691882,,
5,Germany,12,L G,L G,Federal States and Local Governments,1152.961115,,
5,Germany,34,Euler Hermes,Euler Hermes,Euler Hermes Kreditversicherungs-AG,839.63764,,
5,Germany,60,INT,BMI,Federal Ministry of the Interior,19.15039512,,
5,Germany,61,BMVJ,BMVJ,Federal Ministry of Justice and Consumer Protection,5.4969703,,
5,Germany,62,BMWi,BMWi,Federal Ministry for Economic Affairs and Energy,6.8430229,,
5,Germany,63,BMEL,BMEL,Federal Ministry of Food and Agriculture,23.2402608,,
5,Germany,64,BMVg,BMVg,Federal Ministry of Defence,3.34373717,,
5,Germany,65,BMFSFJ,BMFSFJ,"Federal Ministry of Family Affairs, Senior Citizens, Women and Youth",2.65358,,
5,Germany,66,BMG,BMG,Federal Ministry of Health,0.3599827,,
5,Germany,67,BMVI,BMVI,Federal Ministry of Transport and Digital Infrastructure,0.28030674,,
5,Germany,68,BMBF,BMBF,Federal Ministry of Education and Research,152.0832182,,
5,Germany,69,BKM,BKM,Federal Government Commissioner for Culture and the Media,211.814772,,
5,Germany,70,Bundestag,Bundestag,German Bundestag,0.78367027,,
5,Germany,71,BMAS,BMAS,Federal Ministry of Labour and Social Affairs,1.08797,,
5,Germany,80,Schleswig-Holstein,Schleswig-Holstein,Federal State of Schleswig-Holstein,1.89253708,,
5,Germany,81,Hamburg,Hamburg,City State of Hamburg,5.24411538,,
5,Germany,82,Niedersachsen,Niedersachsen,Federal State of Lower-Saxony,0.91363564,,
5,Germany,83,Bremen,Bremen,City State of Bremen,0.83160183,,
5,Germany,84,Nordrhein-Westfalen,Nordrhein-Westfalen,Federal State of North Rhine-Westphalia,11.2490241,,
5,Germany,85,Hessen,Hessen,Federal State of Hesse,3.12845318,,
5,Germany,86,Rheinland-Pfalz,Rheinland-Pfalz,Federal State of Rhineland-Palatinate,2.18594534,,
5,Germany,87,Badentemberg,Badenttemberg,Federal State of Badenemberg,3.68202903,,
5,Germany,88,Bayern,Bayern,Federal State of Bavaria,3.90248768,,
5,Germany,89,Saarland,Saarland,Federal State of Saarland,0.37762131,,
5,Germany,90,Berlin,Berlin,City State of Berlin,1.0664371,,
5,Germany,91,Brandenburg,Brandenburg,Federal State of Brandenburg,0.24579069,,
5,Germany,92,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Federal State of Mecklenburg-West Pomerania,0.34644377,,
5,Germany,93,Sachsen-Anhalt,Sachsen-Anhalt,Federal State of Saxony-Anhalt,0.26764095,,
5,Germany,94,Sachsen,Sachsen,Federal State of Saxony,0.14986313,,
5,Germany,95,Thingen,Thingen,Federal State of Thuringia,0.10811988,,
1311,Global Alliance for Vaccines and Immunization [GAVI],1,GAVI,NULL,NULL,1414.73055,,
811,Global Environment Facility [GEF],1,GEF,NULL,NULL,601.1596086,,
811,Global Environment Facility [GEF],11,NULL,NULL,NULL,NULL,,
811,Global Environment Facility [GEF],12,LDCF,NULL,NULL,3.3853476,,
811,Global Environment Facility [GEF],13,SCCF,NULL,NULL,1.11712568,,
1312,Global Fund,1,Global Fund,NULL,NULL,2887.143658,,
1313,Global Green Growth Institute [GGGI],1,NULL,NULL,NULL,15.5247649,,
40,Greece,3,MFA,MFA,Ministry of Foreign Affairs,3.951593568,,
40,Greece,4,MND,MND,Ministry of National Defense,0.492205,,
40,Greece,5,MDCS,MDCS,"Ministry of Development, Competitiveness & Shipping",0.0166155,,
40,Greece,6,MEECC,MEECC,"Ministry of the Environment, Energy & Climate Change",0.2530362,,
40,Greece,7,MELLLR,MELLLR,"Ministry of Education, Life Long Learning & Religions",11.59563296,,
40,Greece,9,MESS,MESS,Ministry of Employment & Social Security,4.24732846,,
40,Greece,10,MHSS,MHSS,Ministry of Health & Social Solidarity,17.1065241,,
40,Greece,11,MADF,MADF,Ministry of Agricultural Development & Food,0.60405364,,
40,Greece,13,MCP,MCP,Ministry of Citizen Protection,0.105895678,,
40,Greece,14,MCT,MCT,Ministry of Culture & Tourism,0.44864,,
40,Greece,99,MISC,MISC,Miscellaneous,7.276033887,,
75,Hungary,1,MNE,NULL,NULL,0.0853435,,
75,Hungary,2,MinTrade,NULL,NULL,2.902601875,,
75,Hungary,3,BIN,NULL,NULL,10.41288659,,
75,Hungary,4,INT,NULL,NULL,0.140177042,,
75,Hungary,5,MCH,NULL,NULL,7.18320105,,
75,Hungary,6,DEF,NULL,NULL,0.06976388,,
75,Hungary,7,AGRI,NULL,NULL,0.38631758,,69.84446468
75,Hungary,21,NULL,NULL,NULL,6,,
75,Hungary,22,EXIM,NULL,NULL,2.5093871,,
75,Hungary,99,MISC,NULL,NULL,0.40816987,,
20,Iceland,1,MFA,MFA,Ministry of Foreign Affairs,15.98756149,,
20,Iceland,2,ICEIDA,ICEIDA,ICEIDA,13.6652721,,
20,Iceland,3,ICRU,ICRU,ICRU,1.285745,,
912,IDB Special Fund,1,FSO,NULL,NULL,64.048291,,
912,IDB Special Fund,3,FSO-ORC,NULL,NULL,818.624264,,
912,IDB Special Fund,4,ORC,NULL,NULL,770.600089,,
912,IDB Special Fund,5,MIF,NULL,NULL,79.299655,,
912,IDB Special Fund,6,GRF,NULL,NULL,205.821746,,
988,IFAD,1,IFAD,NULL,NULL,NULL,,
958,IMF (Concessional Trust Funds),1,NULL,NULL,NULL,832.08199,,
909,Inter-American Development Bank [IDB],1,ORC,NULL,NULL,8774.085239,,
909,Inter-American Development Bank [IDB],5,MIF,NULL,NULL,14.758015,,
901,International Bank for Reconstruction and Development [IBRD],1,IBRD,NULL,NULL,15858.20922,,
905,International Development Association [IDA],1,IDA,NULL,NULL,13759.27135,,
903,International Finance Corporation [IFC],1,IFC,NULL,NULL,NULL,,
21,Ireland,1,DFA,DFA,Department of Foreign Affairs,513.5612162,,
21,Ireland,3,DAFM,DAFM,"Department of Agriculture, Food and the Marine",1.8510951,,
21,Ireland,99,MISC,MISC,Miscellaneous,7.9769676,,
976,Islamic Development Bank [IsDB],1,IsDB,NULL,NULL,1762.587265,,
6,Italy,4,DGCS,DGCS,Direzione Generale per la Cooperazione allo Sviluppo,365.5444964,,
6,Italy,7,CA,CA,Central administration,989.1389769,,
6,Italy,8,LA,LA,Local administration,15.91435766,,
6,Italy,9,Art.,Art.,Artigiancassa,75.61297002,,
6,Italy,10,NULL,NULL,NULL,93.41065429,,
6,Italy,11,NULL,NULL,NULL,15.05868864,,
701,Japan,1,MAFF,MAFF,"Ministry of Agriculture, Forestry and Fisheries",27.5189352,,
701,Japan,2,MOFA,MOFA,Ministry of Foreign Affairs,2755.511,,
701,Japan,8,JICA,JICA,Japanese International Co-operation Agency,9026.413779,,
701,Japan,10,JODC,JODC,Japan Overseas Development Co-operation,NULL,,
701,Japan,11,JBIC,JBIC,Japan Bank for International Co-operation,NULL,,
701,Japan,12,Oth. MIN,Oth. MIN,Other Ministries,637.773685,,
701,Japan,13,PC,PC,Public Corporations,2.66341659,,
701,Japan,14,PRF,PRF,Prefectures,2.696955765,,
701,Japan,15,ODC,ODC,Ordinance-designed Cities,0.30613866,,
613,Kazakhstan,1,MFA,NULL,NULL,5.2468587,,
613,Kazakhstan,2,GOV,NULL,NULL,4.33612,,
613,Kazakhstan,3,EDUC,NULL,NULL,11,,
613,Kazakhstan,4,NULL,NULL,NULL,6.5,,
742,Korea,1,MOSF,MOSF,Ministry of Strategy and Finance,19.530131,,
742,Korea,2,KEXIM,KEXIM,Export-Import Bank of Korea,7740.907525,,
742,Korea,3,MOFAT,MOFAT,Ministry of Foreign Affairs and Trade,113.435438,,
742,Korea,4,KOICA,KOICA,Korea International Cooperation Agency,551.152917,,
742,Korea,99,MISC,MISC,Miscellaneous,194.078442,,
552,Kuwait [KFAED],1,KFAED,Kuwait Fund for Arab Economic Development (KFAED),NULL,366.1675818,,
552,Kuwait [KFAED],2,NULL,Government Grants administered by KFAED,NULL,183.7523683,,
84,Lithuania,1,GOV,NULL,NULL,0.2242229,,
84,Lithuania,2,MFA,NULL,NULL,4.365380259,,
84,Lithuania,3,DEF,NULL,NULL,0.29071833,,
84,Lithuania,4,ENV,NULL,NULL,0.4140943,,
84,Lithuania,5,FIN,NULL,NULL,0.1905673,,
84,Lithuania,6,ECON,NULL,NULL,0.039800763,,
84,Lithuania,7,EDUC,NULL,NULL,1.286452339,,
84,Lithuania,8,NULL,NULL,NULL,0.00103755,,
84,Lithuania,10,MoH,NULL,NULL,0.0113848,,
84,Lithuania,11,AGRI,NULL,NULL,0.00648235,,
84,Lithuania,12,INT,NULL,NULL,0.009473261,,
84,Lithuania,13,NULL,NULL,NULL,0.01000969,,
84,Lithuania,20,NULL,NULL,NULL,0.00818499,,
84,Lithuania,30,NULL,NULL,NULL,0.02204086,,
22,Luxembourg,2,MFA,MFA,Ministry of Foreign Affairs,304.5438943,,
7,Netherlands,1,MFA,MFA,Ministry of Foreign Affairs (DGIS),4180.104554,,
7,Netherlands,33,NCM,Atradius,Atradius,NULL,,
820,New Zealand,1,NZG,NZG,Ministry of Foreign Affairs and Trade,389.8157323,,
820,New Zealand,99,MISC,MISC,Miscellaneous,20.8741425,,
104,Nordic Development Fund [NDF],1,NDF,NULL,NULL,49.600566,,
