"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl"
"319",923,"UN Peacebuilding Fund [UNPBF]",1,"UNPBF","NULL","NULL","65.01090398",NA
"320",971,"UNAIDS",1,"UNAIDS","NULL","NULL","238.6720169",NA
"321",959,"UNDP",1,"UNDP","NULL","NULL","462.9682182",NA
"322",948,"UNECE",1,"UNECE","NULL","NULL","14.008016",NA
"323",974,"UNFPA",1,"UNFPA","NULL","NULL","340.0066301",NA
"324",967,"UNHCR",1,"UNHCR","NULL","NULL","480.0821",NA
"325",963,"UNICEF",1,"UNICEF","NULL","NULL","1342.399663",NA
"326",576,"United Arab Emirates",2,"FIN","DOF","Abu Dhabi Department of Finance","3574.86109",NA
"327",576,"United Arab Emirates",3,"ADFD","ADFD","Abu Dhabi Fund for Development","1394.61479",NA
"328",576,"United Arab Emirates",7,"IHC","IHC","International Humanitarian City","10.77179",3.250080498
"329",576,"United Arab Emirates",8,"MBZ","NULL","NULL","0.89554",NA
"330",576,"United Arab Emirates",9,"MICAD","NULL","NULL","14.3447",NA
"331",576,"United Arab Emirates",17,"KBZ","KZF","Khalifa Bin Zayed Al Nahyan Foundation","170.07831",NA
"332",576,"United Arab Emirates",18,"MBR","MRHC","Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment","10.18256",NA
"333",576,"United Arab Emirates",19,"ZBS","ZCHF","Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation","0.65264",NA
"334",576,"United Arab Emirates",22,"RCA","RCA","UAE Red Crescent Authority","106.42612",NA
"335",576,"United Arab Emirates",25,"GOV","OTHER","Other Government Entitites","257.55209",119.713922385
"336",576,"United Arab Emirates",99,"MISC","MISC","Miscellaneous","24.48746",NA
"337",12,"United Kingdom",1,"DFID","DFID","Department for International Development","9809.236117",6495.308548459
"338",12,"United Kingdom",2,"CDC","CDC","CDC Capital Partners PLC","608.350974",NA
"339",12,"United Kingdom",3,"FCO","FCO","Foreign & Commonwealth Office","537.4224174",66.50448176
"340",12,"United Kingdom",4,"DECC","DECC","Department of Energy and Climate Change","125.0586536",178.723342992
"341",12,"United Kingdom",5,"ECGD","ECGD","Export Credit Guarantee Department","5.321836563",NA
"342",12,"United Kingdom",6,"HO","HO","Home Office","221.9148",1.246654643
"343",12,"United Kingdom",7,"DEFRA","DEFRA","Department for Environment Food and Rural Affairs","77.24404124",16.242320657
"344",12,"United Kingdom",8,"MOD","MOD","Ministry of Defence","3.553683558",NA
"345",12,"United Kingdom",11,"BIS","BIS","Department for Business, Innovation and Skills","130.1062221",NA
"346",12,"United Kingdom",21,"SG","SG","Scottish Government","19.26845528",NA
"347",12,"United Kingdom",22,"WAG","WAG","Welsh Assembly Government","1.6998646",NA
"348",12,"United Kingdom",99,"MISC","MISC","Miscellaneous","412.8921453",745.813324009
"349",302,"United States",1,"AID","AID","Agency for International Development","17069.8156",1814.14602191
"350",302,"United States",2,"AGR","AGR","Department of Agriculture","306.0224",NA
"351",302,"United States",6,"DTRE","DTRE","Department of Treasury","150.14505",2645.751904505
"352",302,"United States",7,"DOD","DOD","Department of Defense","399.03252",NA
"353",302,"United States",9,"INT","INTERIOR","Department of the Interior","185.0477",NA
"354",302,"United States",10,"PEACE","PEACE","Peace Corps","407.96018",NA
"355",302,"United States",11,"STATE","STATE","State Department","5276.64347",1043.210460281
"356",302,"United States",12,"TDA","TDA","Trade and Development Agency","39.40671",NA
"357",302,"United States",13,"ADF","ADF","African Development Foundation","25.85213",NA
"358",302,"United States",14,"HHS","HHS","Department of Health and Human Services","3362.75481",NA
"359",302,"United States",15,"JUSTICE","JUSTICE","Department of Justice","4.65336",NA
"360",302,"United States",16,"COMMERCE","COMMERCE","Department of Commerce","13.48978",NA
"361",302,"United States",17,"LABOR","LABOR","Department of Labor","67.05426",NA
"362",302,"United States",18,"MCC","MCC","Millennium Challenge Corporation","885.33322",NA
"363",302,"United States",19,"DHS","DHS","Department of Homeland Security","1.75948",NA
"364",302,"United States",20,"DOE","DOE","Department of Energy","60.96769",NA
"365",302,"United States",21,"IADF","IADF","Inter-American Development Foundation","27.09632",NA
"366",302,"United States",22,"OPIC","OPIC","Overseas Private Investment Corporation","251.34201",NA
"367",302,"United States",23,"FTC","FTC","Federal Trade Commission","0.16886",NA
"368",302,"United States",26,"DOT","DOT","Department of Transportation","0.16421",NA
"369",302,"United States",31,"EXIM","EXIM","Export Import Bank","0.98265",NA
"370",302,"United States",32,"EPA","EPA","Environmental Protection Agency","9.307",NA
"371",302,"United States",99,"MISC","MISC","Miscellaneous","NULL",NA
"372",964,"UNRWA",1,"UNRWA","NULL","NULL","680.10063",NA
"373",966,"WFP",1,"WFP","NULL","NULL","308.81258",NA
"374",928,"World Health Organisation [WHO]",1,"WHO","NULL","NULL","471.3630034",NA
