"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl"
"71",68,"Czech Republic",14,"GOV","Regional Governments and Municipalities","Regional Governments and Municipalities","0.36516351",NA
"72",68,"Czech Republic",15,"ENV","MOE","Ministry of Environment","0.4016935",5.390454786
"73",68,"Czech Republic",16,"SÌ_JB","SUJB","State Office for Nuclear Saftey","0.1204364",NA
"74",68,"Czech Republic",19,"AGRI","NULL","NULL","0.00688437",NA
"75",3,"Denmark",1,"MFA","MFA","Ministry of Foreign Affairs","1968.023263",864.725375109
"76",3,"Denmark",3,"IFU","NULL","NULL","95.33163276",NA
"77",3,"Denmark",4,"NULL","NULL","NULL","259.513869",NA
"78",3,"Denmark",99,"MISC","MISC","Miscellaneous","NULL",NA
"79",82,"Estonia",1,"MFA","NULL","NULL","13.76011894",NA
"80",82,"Estonia",2,"NULL","NULL","NULL","1.21003028",NA
"81",82,"Estonia",3,"NULL","NULL","NULL","0.03184293",NA
"82",918,"EU Institutions",1,"CEC","CEC","Commission of the European Communities","9329.166219",41.518278119
"83",918,"EU Institutions",2,"EDF","EDF","European Development Fund","4199.336182",19.72279918
"84",918,"EU Institutions",3,"EIB","EIB","European Investment Bank","5793.387266",NA
"85",990,"European Bank for Reconstruction and Development [EBRD]",1,"EBRD","NULL","NULL","4823.35963",NA
"86",18,"Finland",1,"FG","FG","Finnish Government","17.98839285",145.182855776
"87",18,"Finland",2,"FF","FF","FinnFund","106.9407536",NA
"88",18,"Finland",3,"MFA","MFA","Ministry of Foreign Affairs","863.605643",543.293925746
"89",4,"France",3,"AFD","AFD","French Development Agency","5007.763471",353.181564815
"90",4,"France",8,"COOP DECENTRAL","COOP DECENTRALISEE","COOP DECENTRALISED","955.8127879",NA
"91",4,"France",10,"MINEFI","MINEFI","Ministry of Economy, Finance and Industry","547.1983634",943.405455656
"92",4,"France",12,"INT","IntÌ©rieur","Ministry of Interior","529.3000912",NA
"93",4,"France",13,"AGRI","AGRI","Ministry of Agriculture","11.95002413",NA
"94",4,"France",14,"DEF","DEF","Ministry of Defense","35.0759015",NA
"95",4,"France",15,"InterMin","INTER","Inter-ministerial","14.37972518",NA
"96",4,"France",17,"MEN","MESR","Ministry of Higher education and Research","1431.087679",NA
"97",4,"France",22,"Proparco","NULL","NULL","977.62443",NA
"98",4,"France",30,"MIN/EQUIPEMENT","NULL","NULL","18.0339938",NA
"99",4,"France",37,"MIN/TRAVAIL","MIN/TRAVAIL","MIN/TRAVAIL","3.38065879",NA
"100",4,"France",99,"MISC","MISC","Miscellaneous","98.52327936",NA
"101",5,"Germany",1,"BMZ","BMZ","Bundesministerium Wirtschaftliche Zusammenarbeit und Entwicklung","6733.865787",NA
"102",5,"Germany",2,"KFW","KFW","Kreditanstalt Wiederaufbau","3857.691594",NA
"103",5,"Germany",4,"DEG","DEG","German Investment and Development Company","1517.596688",NA
"104",5,"Germany",5,"BMF","BMF","Federal Ministry of Finance","5.02097171",2.650910098
"105",5,"Germany",7,"F O","F O","Foreign Office","1383.10682",172.685379434
"106",5,"Germany",9,"BMU","BMU","Federal Ministry for the Env., Nature Conservation and Nuclear Safety","317.8691882",80.008426803
"107",5,"Germany",12,"L G","L G","Federal States and Local Governments","1152.961115",NA
"108",5,"Germany",34,"Euler Hermes","Euler Hermes","Euler Hermes Kreditversicherungs-AG","839.63764",NA
"109",5,"Germany",60,"INT","BMI","Federal Ministry of the Interior","19.15039512",3.508144275
"110",5,"Germany",61,"BMVJ","BMVJ","Federal Ministry of Justice and Consumer Protection","5.4969703",0.0364
"111",5,"Germany",62,"BMWi","BMWi","Federal Ministry for Economic Affairs and Energy","6.8430229",19.871086779
"112",5,"Germany",63,"BMEL","BMEL","Federal Ministry of Food and Agriculture","23.2402608",18.08478839
"113",5,"Germany",64,"BMVg","BMVg","Federal Ministry of Defence","3.34373717",NA
"114",5,"Germany",65,"BMFSFJ","BMFSFJ","Federal Ministry of Family Affairs, Senior Citizens, Women and Youth","2.65358",NA
