"","donornameE","agencynameE","usd_extended_defl"
"119","Slovak Republic","Ministry of Interior",0.0867
"120","Slovak Republic","Other ministries",2.564134536
"121","Slovak Republic","Slovak Agency for International Deve (SAMRS)",0.02
"122","Slovenia","Ministry of Defence",0.074539527
"123","Slovenia","Ministry of Finance",30.230173475
"124","Slovenia","Ministry of foreign affairs",9.462811361
"125","Slovenia","Miscellaneous",1.502554954
"126","Spain","Ministry of Agriculture, Fisheries, and Food",0.263908044
"127","Spain","Ministry of Economy and Competitiveness",288.740153873
"128","Spain","Ministry of Education, Culture and Sports",0.198953308
"129","Spain","Ministry of Foreign Affairs and Co-operation",98.198223564
"130","Spain","Ministry of Industry and Energy",0.455523495
"131","Spain","Ministry of Public Administration",1024.39276
"132","Spain","Ministry of Public Works",0.165246335
"133","Sweden","Ministry of Foreign Affairs",1921.848197755
"134","Sweden","Swedish International Development Authority",43.044184284
"135","Switzerland","Federal Administration (various departments)",65.504241987
"136","Switzerland","Federal Department of Foreign Affairs",35.785850883
"137","Switzerland","State Secretariat for Economic Affairs",4.13296442
"138","Switzerland","Swiss Agency for Development and Co-operation",627.066732545
"139","United Arab Emirates","International Humanitarian City",3.250080498
"140","United Arab Emirates","Ministry of International Cooperation and Development",6.728537494
"141","United Arab Emirates","Other Government Entitites",119.713922385
"142","United Kingdom","Department for Environment Food and Rural Affairs",16.242320657
"143","United Kingdom","Department for International Development",6495.308548459
"144","United Kingdom","Department for Work and Pensions",12.13759628
"145","United Kingdom","Department of Energy and Climate Change",178.723342992
"146","United Kingdom","Department of Health",17.6537199
"147","United Kingdom","Foreign & Commonwealth Office",66.50448176
"148","United Kingdom","Home Office",1.246654643
"149","United Kingdom","Miscellaneous",745.813324009
"150","United States","Agency for International Development",1814.14602191
"151","United States","Department of Treasury",2645.751904505
"152","United States","State Department",1043.210460281
